date,category,district,requests,resolved,response_days,satisfaction,resource_hours
2025-02-03,health,north,106,73.0,9.2,4.6,61
2025-02-03,transport,north,73,70.0,6.5,6.3,61
2025-02-04,food,east,33,33.0,6.1,6.7,52
2025-02-04,safety,south,68,60.0,11.9,3.3,58
2025-02-05,housing,east,148,110.0,9.5,3.7,61
2025-02-05,health,south,82,39.0,7.9,6.4,71
2025-02-06,transport,south,79,40.0,8.7,4.7,56
2025-02-06,food,east,41,30.0,11.5,4.4,64
2025-02-07,safety,north,58,50.0,5.2,6.8,45
2025-02-07,housing,west,155,131.0,10.9,4.9,75
2025-02-08,health,south,133,51.0,8.9,1.8,58
2025-02-08,transport,north,112,92.0,4.9,3.1,62
2025-02-09,food,south,56,36.0,5.1,4.6,54
2025-02-09,food,east,78,66.0,6.3,6.4,75
2025-02-10,housing,north,117,117.0,7.4,7.3,64
2025-02-10,safety,west,66,66.0,6.5,4.5,52
2025-02-11,food,north,85,70.0,9.2,2.7,53
2025-02-11,food,west,76,58.0,6.9,5.3,61
2025-02-12,safety,west,77,69.0,8.0,5.8,62
2025-02-12,housing,south,132,63.0,7.6,2.9,64
2025-02-13,health,east,118,89.0,7.0,6.2,76
2025-02-13,food,west,83,68.0,4.9,5.9,63
2025-02-14,food,east,33,33.0,8.9,4.5,51
2025-02-14,safety,east,31,19.0,4.7,6.6,67
2025-02-15,housing,east,145,128.0,6.7,5.6,94
2025-02-15,health,east,99,54.0,5.7,5.1,59
2025-02-16,transport,west,45,42.0,5.7,7.2,44
2025-02-16,food,south,83,54.0,9.3,2.0,66
2025-02-17,safety,east,24,23.0,5.0,4.3,53
2025-02-17,safety,north,96,81.0,7.4,6.0,57
2025-02-18,food,south,59,48.0,6.1,2.0,70
2025-02-18,transport,west,41,29.0,6.1,5.5,39
2025-02-19,health,east,72,62.0,11.1,4.4,54
2025-02-19,health,north,66,61.0,6.0,8.1,54
2025-02-20,housing,east,112,91.0,8.8,,69
2025-02-20,health,south,67,36.0,6.5,4.2,55
2025-02-21,transport,south,49,32.0,6.8,1.7,60
2025-02-21,food,north,37,37.0,6.8,8.5,53
2025-02-22,safety,south,55,40.0,9.0,5.3,48
2025-02-22,housing,east,129,91.0,10.0,6.1,67
2025-02-23,health,west,117,90.0,9.9,2.2,60
2025-02-23,housing,north,115,92.0,7.3,7.0,66
2025-02-24,food,south,96,41.0,7.1,5.0,61
2025-02-24,safety,north,77,56.0,6.9,5.6,47
2025-02-25,housing,north,157,137.0,6.7,5.8,90
2025-02-25,health,west,86,86.0,8.0,6.0,50
2025-02-26,transport,south,101,56.0,9.8,3.5,68
2025-02-26,safety,north,80,52.0,3.0,8.0,71
2025-02-27,safety,east,62,57.0,10.5,4.9,51
2025-02-27,housing,west,140,108.0,6.8,7.8,92
2025-02-28,health,east,131,105.0,9.4,6.0,79
2025-02-28,transport,west,105,88.0,4.7,6.1,60
2025-03-01,food,west,113,106.0,8.5,6.6,68
2025-03-01,food,east,79,59.0,5.2,5.6,58
2025-03-02,housing,east,162,,9.7,4.6,78
2025-03-02,health,north,91,66.0,8.1,6.0,44
2025-03-03,health,north,136,134.0,8.2,4.6,63
2025-03-03,food,east,79,74.0,9.6,4.5,47
2025-03-04,safety,west,54,36.0,7.3,4.8,47
2025-03-04,housing,east,129,99.0,9.1,3.5,67
2025-03-05,health,west,117,79.0,4.3,4.1,69
2025-03-05,transport,west,87,84.0,2.7,7.0,77
2025-03-06,food,west,51,30.0,6.2,7.2,71
2025-03-06,health,west,110,109.0,7.8,5.4,71
2025-03-07,housing,east,122,103.0,7.8,4.5,79
2025-03-07,health,east,116,87.0,8.9,5.2,49
2025-03-08,transport,east,53,39.0,7.2,4.4,61
2025-03-08,food,north,59,46.0,6.5,6.3,44
2025-03-09,safety,north,12,0.0,5.6,6.0,41
2025-03-09,housing,east,145,120.0,6.9,4.0,65
2025-03-10,safety,south,49,0.0,4.7,4.1,46
2025-03-10,transport,north,82,82.0,5.8,5.2,65
2025-03-11,food,south,79,44.0,8.1,5.9,53
2025-03-11,health,west,78,63.0,5.4,5.0,63
2025-03-12,housing,north,164,161.0,11.3,5.4,94
2025-03-12,health,north,102,81.0,7.7,5.0,63
2025-03-13,transport,south,100,52.0,8.9,4.0,69
2025-03-13,food,east,111,86.0,9.3,3.4,66
2025-03-14,health,north,115,114.0,8.6,6.8,71
2025-03-14,housing,east,66,54.0,1.0,4.9,61
2025-03-15,health,north,80,63.0,9.5,4.7,82
2025-03-15,transport,east,130,99.0,6.8,5.2,72
2025-03-16,food,west,63,41.0,8.7,5.1,52
2025-03-16,safety,south,75,29.0,6.4,5.8,54
2025-03-17,housing,south,151,88.0,7.1,4.7,85
2025-03-17,health,east,74,59.0,6.9,4.7,67
2025-03-18,transport,north,134,134.0,7.9,6.0,81
2025-03-18,food,east,90,66.0,6.5,4.9,68
2025-03-19,safety,west,76,56.0,8.7,5.4,46
2025-03-19,housing,north,127,94.0,6.1,5.0,72
2025-03-20,health,west,125,104.0,8.9,5.4,77
2025-03-20,transport,north,80,45.0,7.1,5.8,70
2025-03-21,food,east,57,48.0,6.2,5.4,64
2025-03-21,safety,south,80,52.0,6.7,5.6,66
2025-03-22,housing,west,118,87.0,9.1,3.9,73
2025-03-22,health,south,104,58.0,13.3,1.4,80
2025-03-23,transport,east,92,74.0,7.6,6.7,58
2025-03-23,food,south,53,28.0,5.9,5.2,67
2025-03-24,food,west,42,30.0,3.8,5.2,52
2025-03-24,housing,south,125,85.0,9.7,3.6,75
2025-03-25,health,east,112,79.0,5.7,3.9,74
2025-03-25,transport,east,90,77.0,8.1,4.3,74
2025-03-26,transport,east,114,100.0,10.3,5.1,74
2025-03-26,safety,east,32,32.0,4.2,5.1,61
2025-03-27,housing,north,133,105.0,7.6,5.8,74
2025-03-27,food,south,78,31.0,9.2,3.9,52
2025-03-28,transport,north,85,73.0,10.3,4.9,58
2025-03-28,food,south,63,26.0,10.5,3.4,68
2025-03-29,safety,west,60,46.0,7.0,7.3,31
2025-03-29,housing,east,140,113.0,9.7,4.2,85
2025-03-30,health,north,114,114.0,8.2,4.9,75
2025-03-30,transport,north,126,83.0,5.4,4.9,67
2025-03-31,food,west,32,13.0,4.9,8.7,66
2025-03-31,transport,north,61,32.0,6.4,4.9,54
